num_functions,cyclomatic_complexity,num_loops,num_function_calls,num_memory_allocations,num_pointer_operations,num_exp_math_operations,power_mW
563,44,32,97,12,9,51,1805.5
582,46,33,111,12,9,45,982.2
574,38,28,104,12,9,33,3354.5
567,37,27,95,12,9,21,2212.3333333333335
589,43,35,113,10,9,67,211.4
565,40,31,85,6,9,51,239.2
579,40,29,90,6,9,27,2167.0
594,60,42,104,14,9,77,3309.75
556,32,27,69,2,9,65,1917.25
604,53,39,116,12,9,27,18.0
581,41,34,100,8,9,41,1629.6
604,52,39,124,14,9,23,2238.6666666666665
568,43,28,92,8,9,23,3083.3333333333335
599,51,42,113,6,9,39,1912.75
569,42,34,96,4,9,55,202.4
608,61,48,129,16,9,67,257.75
606,51,39,113,2,9,65,1531.4
553,34,27,72,8,9,65,2094.25
556,51,34,92,16,9,67,220.6
556,44,30,79,8,9,29,16.0
585,50,39,90,4,9,61,20.666666666666668
575,62,44,107,18,9,57,18.666666666666668
608,59,42,118,12,9,57,1527.0
580,47,34,95,6,9,63,202.2
559,30,24,72,2,9,59,1512.8
562,53,34,96,20,9,35,2260.6666666666665
547,29,24,78,6,9,15,3053.0
563,45,32,91,4,9,37,2294.6666666666665
580,50,31,103,20,9,41,19.333333333333332
540,36,26,88,16,9,37,1914.75
598,52,38,122,14,9,29,206.2
552,32,26,78,6,9,57,1010.3333333333334
604,62,46,125,20,9,53,1924.25
548,30,22,69,2,9,17,17.333333333333332
561,41,28,93,6,9,33,1960.25
594,45,33,99,6,9,39,23.666666666666668
573,53,36,105,16,9,55,1927.25
582,38,29,106,14,9,35,1634.0
559,38,28,79,8,9,41,1567.8
604,57,42,122,10,9,55,2196.0
557,50,34,82,10,9,31,16.0
625,72,53,139,18,9,69,1519.0
564,41,32,88,2,9,41,2272.0
572,32,25,91,2,9,65,252.0
568,42,28,96,12,9,39,1890.0
554,41,27,81,8,9,47,29.333333333333332
566,41,28,84,10,9,49,2201.3333333333335
581,50,36,103,18,9,69,4967.75
580,45,29,103,16,9,55,2350.0
539,34,26,79,12,9,63,285.0
543,38,24,69,10,9,37,1517.6
576,39,29,91,2,9,41,2225.0
543,32,24,72,10,9,19,1444.3333333333333
584,56,39,98,12,9,51,2234.3333333333335
567,41,28,86,6,9,57,218.0
558,26,19,79,8,9,35,207.4
582,50,38,99,10,9,61,1336.6666666666667
591,50,43,108,6,9,69,3143.0
521,26,17,62,12,9,39,906.0
562,40,29,103,18,9,63,1135.6
552,34,26,77,6,9,21,639.0
581,33,28,102,4,9,25,3127.0
559,49,34,87,18,9,57,17.333333333333332
562,42,33,91,12,9,63,1524.8
582,45,39,94,4,9,67,1075.6666666666667
578,51,34,104,16,9,31,19.0
577,39,31,86,4,9,67,3855.0
569,53,34,90,18,9,27,34.333333333333336
562,38,30,81,10,9,49,1536.6
571,48,36,83,8,9,71,205.8
595,45,36,113,8,9,59,1678.5
556,37,26,85,4,9,13,987.0
574,40,28,111,16,9,25,1514.5
556,40,29,86,6,9,15,1336.4
565,46,33,88,10,9,25,208.0
547,37,27,76,8,9,17,18.666666666666668
577,47,31,114,20,9,29,5926.0
601,58,43,120,14,9,71,2229.3333333333335
562,32,25,89,8,9,41,16.0
555,39,30,85,4,9,55,1624.2
587,57,42,117,16,9,67,6454.666666666667
547,28,21,66,2,9,35,206.0
574,39,31,101,4,9,19,16.0
582,47,32,109,20,9,47,974.25
565,47,35,92,18,9,45,140.33333333333334
561,47,35,103,20,9,71,4181.5
585,48,35,106,8,9,59,203.0
540,29,25,62,4,9,49,215.8
582,55,39,109,16,9,49,45.666666666666664
575,52,42,99,6,9,39,3066.75
617,66,45,138,20,9,83,207.8
552,27,19,86,12,9,21,286.25
555,35,28,79,4,9,61,2268.3333333333335
600,48,38,123,14,9,71,368.75
579,56,39,101,12,9,33,5538.666666666667
564,42,29,97,20,9,35,42.333333333333336
557,45,33,100,20,9,53,1524.4
580,42,31,112,18,9,51,2232.3333333333335
577,40,29,100,12,9,39,255.75
553,32,25,87,10,9,37,7126.75
597,60,40,124,20,9,71,131.0
554,28,24,76,2,9,41,1684.8
580,44,32,110,18,9,63,2246.3333333333335
540,32,22,79,14,9,35,261.25
568,38,30,85,8,9,71,3732.2
547,33,24,83,6,9,21,1656.6
556,37,27,76,10,9,61,2242.3333333333335
577,43,29,98,14,9,47,52.0
556,34,28,84,6,9,57,4669.0
552,50,32,88,20,9,65,22.333333333333332
583,50,38,111,20,9,59,1194.8
592,55,45,105,2,9,65,2269.3333333333335
573,38,30,103,12,9,63,19.333333333333332
571,48,39,97,14,9,77,2915.6666666666665
565,35,28,88,6,9,57,281.0
565,40,31,87,4,9,61,1540.4
560,43,31,88,6,9,45,2446.3333333333335
589,57,40,102,14,9,59,256.25
568,30,21,90,12,9,57,3846.2
588,45,30,100,12,9,39,1596.0
596,51,38,108,16,9,79,2471.0
607,63,44,119,16,9,79,21.333333333333332
580,43,29,101,18,9,33,3930.25
567,46,32,94,14,9,35,23.666666666666668
594,52,38,110,14,9,23,2279.3333333333335
609,55,41,126,16,9,79,17.333333333333332
559,33,26,94,10,9,37,1594.2
556,23,19,80,2,9,11,1335.6
589,44,35,104,12,9,57,3975.2
563,38,27,102,16,9,55,21.0
558,32,24,83,8,9,23,1480.0
574,40,28,96,4,9,13,104.0
577,43,32,97,8,9,41,61.0
539,25,21,68,2,9,35,2603.0
586,62,45,112,20,9,47,623.6666666666666
594,59,41,108,14,9,47,1316.6
545,33,27,79,2,9,17,211.6
589,49,32,102,12,9,33,3845.2
563,36,28,86,2,9,23,2284.0
566,49,33,102,12,9,21,19.333333333333332
584,59,41,112,18,9,63,2404.5
576,45,32,106,18,9,45,88.33333333333333
579,53,34,99,18,9,51,4778.5
591,58,39,108,20,9,83,1048.4
545,20,16,72,4,9,43,795.4
600,57,42,120,12,9,27,19.666666666666668
555,30,20,77,10,9,25,4233.75
580,35,32,99,2,9,23,20.333333333333332
564,36,27,85,10,9,19,1860.75
576,33,25,102,8,9,23,334.4
562,42,31,83,4,9,37,133.0
554,42,31,77,4,9,43,4371.0
572,39,30,102,12,9,51,1131.6
558,39,28,91,14,9,53,890.0
577,41,31,97,4,9,43,21.666666666666668
568,37,31,99,6,9,51,3492.25
560,29,19,81,10,9,19,1451.0
610,67,46,117,20,9,83,18.666666666666668
596,61,44,111,12,9,57,585.8
597,62,46,120,20,9,59,2236.0
571,49,37,93,6,9,39,3193.3333333333335
561,37,28,91,12,9,27,1561.2
580,53,37,113,18,9,57,1629.0
571,46,35,82,4,9,55,214.6
580,43,30,108,8,9,35,3244.75
584,57,46,112,18,9,75,1548.0
582,42,32,97,8,9,53,200.4
533,20,14,65,4,9,13,133.0
568,45,29,87,14,9,53,1827.0
596,51,35,112,18,9,75,1477.0
577,44,35,98,14,9,65,683.2
589,53,43,119,16,9,73,98.66666666666667
545,33,27,66,2,9,53,55.0
587,51,37,103,16,9,37,609.6666666666666
578,47,35,94,4,9,25,1788.0
566,49,34,95,12,9,51,1174.4
569,34,26,85,2,9,17,18.666666666666668
592,55,42,123,20,9,59,917.25
577,56,40,99,14,9,29,2428.3333333333335
585,49,34,100,8,9,17,194.0
586,55,38,114,12,9,63,22.333333333333332
553,46,34,80,4,9,43,379.6666666666667
571,49,37,86,6,9,27,20.0
570,46,32,106,18,9,51,1803.2
595,56,45,113,8,9,71,1676.4
551,19,14,77,6,9,15,203.2
577,54,40,93,10,9,43,118.0
595,58,40,111,18,9,51,2009.0
556,19,13,82,8,9,29,2832.2
590,56,39,111,12,9,57,18.0
591,42,32,111,6,9,21,1466.0
563,37,29,86,10,9,61,16.0
600,59,43,112,12,9,69,1010.4
572,45,27,98,20,9,29,1566.8
558,49,32,87,18,9,57,203.2
564,48,34,84,14,9,41,279.0
562,46,37,97,12,9,63,2218.6666666666665
592,37,33,104,2,9,29,3173.0
582,59,41,111,16,9,31,2097.0
549,36,27,82,14,9,41,364.8
554,27,22,70,2,9,47,18.0
560,28,24,75,4,9,43,2073.5
575,56,41,104,20,9,71,3501.75
558,39,24,84,14,9,23,1016.8
589,56,43,113,14,9,77,1544.2
595,56,40,117,16,9,61,761.6666666666666
567,54,35,91,20,9,41,242.8
572,46,32,97,6,9,39,2906.6
568,35,27,89,2,9,59,415.6
545,29,24,82,4,9,43,285.6666666666667
561,49,33,92,12,9,27,1674.3333333333333
547,36,29,71,2,9,29,2928.0
566,53,35,96,20,9,71,324.8
574,53,36,93,18,9,69,1036.6666666666667
559,41,27,84,12,9,21,1934.75
535,29,18,71,14,9,35,2168.8
606,55,39,109,14,9,35,13.333333333333334
577,59,42,101,20,9,83,1975.25
575,49,37,93,8,9,71,20.666666666666668
555,41,31,84,16,9,67,1953.25
574,45,32,96,20,9,53,20.0
576,46,36,109,14,9,35,3288.3333333333335
604,53,41,127,16,9,73,217.0
588,60,43,116,18,9,75,18.0
537,33,25,68,4,9,31,943.0
576,42,31,102,18,9,75,260.25
585,49,41,108,10,9,73,3748.2
567,37,29,95,8,9,53,237.66666666666666
597,50,36,104,14,9,65,1098.2
587,46,34,99,8,9,47,1939.25
585,46,33,118,20,9,47,26.666666666666668
596,59,42,107,14,9,77,5974.0
555,43,31,94,20,9,35,656.6
588,48,33,105,18,9,57,82.66666666666667
582,52,37,96,14,9,77,977.5
592,53,37,121,18,9,33,2721.2
585,47,38,104,12,9,63,1040.8
573,54,35,106,18,9,27,148.66666666666666
581,59,40,102,18,9,75,1944.25
574,56,36,108,18,9,33,212.0
555,41,33,91,8,9,59,209.2
545,41,29,78,10,9,37,130.0
570,38,32,100,8,9,41,2276.0
565,50,34,98,10,9,31,207.4
572,49,37,98,14,9,59,216.6
598,68,48,124,18,9,33,18.666666666666668
591,51,35,111,10,9,19,1802.25
560,38,24,86,14,9,29,615.4
585,54,44,106,8,9,47,259.25
559,34,27,86,8,9,23,1153.4
567,29,24,88,6,9,33,1975.5
576,41,34,91,4,9,61,18.666666666666668
572,50,35,89,12,9,21,3848.0
594,51,39,104,2,9,65,213.0
562,53,36,99,18,9,57,20.0
542,43,27,73,14,9,59,2384.5
570,44,33,97,14,9,41,306.25
590,52,36,123,20,9,29,6030.0
581,37,31,93,4,9,61,21.666666666666668
539,26,18,69,12,9,51,1595.0
593,42,34,106,4,9,43,1854.75
575,53,35,111,20,9,29,267.25
563,39,27,83,12,9,45,2701.6
556,28,22,84,6,9,21,886.0
584,51,37,109,18,9,69,22.333333333333332
561,49,36,94,8,9,29,768.0
604,66,47,130,20,9,35,1160.0
580,44,32,108,18,9,33,650.4
565,35,29,89,2,9,23,20.0
590,54,39,113,20,9,53,918.5
557,45,32,89,10,9,25,47.333333333333336
597,68,47,123,20,9,83,3936.3333333333335
595,51,36,119,14,9,29,24.333333333333332
569,42,32,97,16,9,37,794.6666666666666
571,37,31,91,2,9,47,533.0
528,24,20,60,2,9,11,599.0
559,30,25,93,6,9,15,1663.6
597,60,41,109,20,9,53,395.0
565,47,35,99,12,9,75,1702.6
584,48,39,100,4,9,49,170.0
550,32,24,69,4,9,61,224.6
564,46,34,99,20,9,83,2312.6
588,53,40,111,12,9,57,133.66666666666666
559,45,30,90,20,9,65,1332.6
593,58,40,104,14,9,65,1953.5
555,30,25,88,6,9,45,259.25
585,51,38,112,18,9,33,2387.6
580,52,34,104,16,9,31,1229.6
563,43,33,94,10,9,37,270.75
565,40,31,75,2,9,41,1022.0
581,46,34,116,18,9,75,1113.6
612,67,47,129,20,9,35,1226.0
567,50,38,99,12,9,63,260.25
567,41,30,94,16,9,61,2273.0
576,42,34,95,8,9,65,213.0
599,52,39,114,14,9,41,2457.6
565,39,32,91,4,9,49,775.4
568,41,31,93,12,9,63,122.66666666666667
594,58,40,109,20,9,71,213.8
598,49,35,105,10,9,73,2285.0
568,32,25,81,6,9,45,3623.0
593,56,41,108,12,9,63,2338.0
558,35,28,79,2,9,41,51.333333333333336
555,33,23,82,10,9,31,1953.5
538,34,25,67,8,9,23,202.6
588,47,34,100,14,9,65,2471.4
591,51,39,105,8,9,65,20.666666666666668
583,61,43,95,14,9,77,2292.0
572,44,27,101,12,9,21,442.75
572,50,35,86,12,9,63,1676.8
567,47,35,92,2,9,41,2431.3333333333335
565,54,36,94,14,9,29,21.0
573,45,34,86,2,9,59,1581.0
597,65,47,108,14,9,71,1561.6
576,40,26,92,8,9,17,3060.75
578,47,30,101,20,9,35,1570.2
582,39,31,95,6,9,57,125.33333333333333
577,44,28,100,20,9,35,566.75
562,38,27,96,16,9,25,1661.0
576,48,36,97,12,9,51,3330.0
575,37,31,96,4,9,49,1587.4
559,44,31,88,16,9,67,554.75
594,55,38,116,12,9,75,329.6666666666667
562,45,30,99,14,9,35,708.0
581,54,42,102,4,9,13,191.0
561,54,38,96,12,9,27,3135.0
553,47,29,87,20,9,29,110.0
557,39,29,95,10,9,19,257.75
568,50,33,112,20,9,29,1871.75
590,56,38,118,16,9,61,2077.0
587,44,36,104,4,9,43,21.666666666666668
586,45,32,93,4,9,55,2015.0
550,42,31,87,10,9,25,214.4
609,57,43,118,10,9,61,190.0
595,51,38,119,14,9,29,1747.8
601,67,46,127,20,9,35,133.66666666666666
596,55,44,109,6,9,57,443.0
559,44,29,90,10,9,25,1442.6
609,59,44,120,8,9,65,5447.4
581,50,38,96,14,9,65,24.333333333333332
565,47,33,83,8,9,29,106.66666666666667
