num_functions,cyclomatic_complexity,num_loops,num_function_calls,num_memory_allocations,num_pointer_operations,num_exp_math_operations,instruction_count,arithmetic_instr_pct,memory_instr_pct,control_instr_pct,control_path_depth,power_mw
10069,5312,3635,7904,1666,9,2930,171051,1.71,0.97,3.11,2,986
7340,4018,3237,5001,140,9,1496,139250,1.07,0.1,2.89,2,932
9383,3626,2789,7931,1346,9,3000,152365,1.97,0.88,2.38,2,1000
5879,3074,2263,4186,622,9,1338,115157,1.16,0.54,2.67,2,878
8362,3186,2245,6926,1516,9,2710,132754,2.04,1.14,2.4,2,923
7255,2293,2017,5323,132,9,1516,100489,1.51,0.13,2.28,2,930
11116,4610,3918,7621,188,9,1970,188424,1.05,0.1,2.45,2,1038
11556,6430,4519,7889,1958,9,2176,211670,1.03,0.93,3.04,2,960
7766,2380,2073,4810,52,9,774,117057,0.66,0.04,2.03,2,1017
9450,4570,3211,8115,1332,9,3266,161413,2.02,0.83,2.83,2,969
13695,6626,4968,10623,1948,9,3722,241279,1.54,0.81,2.75,2,931
10663,5603,3916,7349,1414,9,1892,190544,0.99,0.74,2.94,2,894
7263,3585,2729,6669,1394,9,3154,139572,2.26,1.0,2.57,2,1018
8994,3620,2591,6863,1512,9,2184,141312,1.55,1.07,2.56,2,953
11877,4576,3362,8176,1704,9,1976,183056,1.08,0.93,2.5,2,866
10722,5916,4128,8729,1634,9,3412,195906,1.74,0.83,3.02,2,972
7643,2815,1826,5839,1512,9,1840,112276,1.64,1.35,2.51,2,803
9309,5391,3847,7804,1964,9,3220,170088,1.89,1.15,3.17,2,840
9980,4772,3212,7034,1370,9,1782,163020,1.09,0.84,2.93,2,881
10907,5439,4028,8433,1238,9,2942,189526,1.55,0.65,2.87,2,981
11170,5222,3369,8633,1748,9,2782,178559,1.56,0.98,2.92,2,871
9638,4174,3219,6582,1338,9,1570,158316,0.99,0.85,2.64,2,946
11151,4820,3589,8315,1662,9,2514,176161,1.43,0.94,2.74,2,815
6745,3516,2311,5772,1964,9,2402,121789,1.97,1.61,2.89,2,864
9194,4516,3846,6585,406,9,2190,170258,1.29,0.24,2.65,2,751
9405,2712,2150,6553,944,9,1586,136377,1.16,0.69,1.99,2,1039
7255,2488,1918,4852,708,9,1274,106944,1.19,0.66,2.33,2,993
8245,3674,2842,6490,990,9,2378,148648,1.6,0.67,2.47,2,930
9296,5118,3591,7772,1314,9,3080,159037,1.94,0.83,3.22,2,1036
6006,1768,1266,4429,554,9,1342,81091,1.65,0.68,2.18,2,843
5286,2135,1682,3369,178,9,932,92516,1.01,0.19,2.31,2,933
10343,3789,3272,7157,188,9,1724,159792,1.08,0.12,2.37,2,875
10805,3795,2892,7359,178,9,1696,162469,1.04,0.11,2.34,2,1002
9576,2536,2291,5399,104,9,366,126955,0.29,0.08,2.0,2,934
7600,2557,1945,6246,1172,9,2442,121461,2.01,0.96,2.11,2,969
10499,5848,4276,8255,1824,9,3084,196334,1.57,0.93,2.98,2,1121
6843,3917,2664,5575,934,9,2218,125814,1.76,0.74,3.11,2,939
7385,2718,2099,5685,780,9,2012,112150,1.79,0.7,2.42,2,930
11019,5632,4039,8990,1826,9,3362,188832,1.78,0.97,2.98,2,976
5464,2044,1588,3327,538,9,636,76710,0.83,0.7,2.66,2,1025
6169,2621,2133,4576,668,9,1604,109380,1.47,0.61,2.4,2,825
10258,4622,3449,6495,972,9,1260,167993,0.75,0.58,2.75,2,898
10788,4655,3630,8861,1564,9,3336,181331,1.84,0.86,2.57,2,815
9038,3255,2685,5297,396,9,644,140276,0.46,0.28,2.32,2,836
8884,4987,3550,5351,932,9,1016,158067,0.64,0.59,3.15,2,908
11286,4505,3275,8716,1206,9,2834,171565,1.65,0.7,2.63,2,905
7598,4649,3111,6173,1658,9,2474,152997,1.62,1.08,3.04,2,915
8999,5101,3493,7464,1670,9,3176,161571,1.97,1.03,3.16,2,992
10335,4782,3455,7151,1318,9,2002,172180,1.16,0.77,2.78,2,912
