num_functions,cyclomatic_complexity,num_loops,num_function_calls,num_memory_allocations,num_pointer_operations,num_exp_math_operations,execution_time,power_mW
302,25,12,70,16,5,31,0,5676.0
317,21,12,72,6,3,27,0,11830.0
336,32,14,88,16,3,79,0,3277.0
369,36,16,134,20,21,71,0,4624.0
339,19,12,102,4,19,19,0,8201.5
332,36,15,92,20,11,71,0,8593.5
307,16,5,60,4,7,61,0,3376.0
326,27,12,98,18,11,33,0,3928.3333333333335
321,29,17,80,14,9,53,0,6046.75
323,31,16,79,14,3,41,0,1745.0
323,23,15,80,12,5,69,0,5241.0
340,32,16,99,14,19,65,0,5878.0
303,13,3,58,2,7,47,0,2601.0
332,22,10,97,12,19,69,0,4214.5
275,20,9,48,16,3,25,0,5881.5
300,19,9,77,14,19,35,0,1591.0
334,17,8,92,4,17,55,0,2308.5
312,32,16,73,16,13,55,0,4763.5
305,12,6,58,2,7,65,0,5841.5
332,28,13,94,14,15,59,0,3406.0
318,24,12,70,10,5,73,0,4482.5
317,24,11,97,20,13,29,0,3505.5
306,18,8,66,2,17,17,0,5338.0
328,33,17,90,16,19,61,0,6016.0
308,27,14,73,20,5,77,0,14977.5
315,21,11,93,16,17,31,0,6049.0
309,11,4,74,6,17,69,0,4013.0
318,28,15,76,16,5,73,0,6348.5
343,28,16,102,14,11,65,0,10012.0
324,21,8,89,8,17,29,0,4115.0
327,17,7,79,4,5,55,0,5545.5
323,27,14,82,10,15,43,0,6364.0
346,34,19,110,20,19,83,0,9698.0
302,16,7,66,2,19,11,0,11978.0
329,18,9,98,12,19,69,0,5486.0
289,9,5,49,4,7,61,0,4675.0
329,17,7,95,12,9,63,0,1823.0
343,34,15,104,16,17,55,0,12063.5
314,22,9,73,8,11,41,0,9855.0
291,7,3,60,2,17,29,0,3367.5
320,22,11,101,18,21,39,0,2650.0
334,28,17,101,14,19,41,0,10632.0
306,22,12,60,4,15,43,0,3315.0
314,19,10,84,12,19,57,0,6115.0
301,33,18,60,16,5,37,0,5564.0
285,20,7,50,12,7,45,0,10218.0
335,16,9,101,8,17,53,0,9941.0
340,28,15,98,10,21,61,0,5520.0
293,16,10,49,2,9,29,0,3653.0
346,31,16,112,14,17,23,0,7941.0
284,20,9,47,10,5,31,0,10986.0
296,22,11,61,14,3,41,0,5406.0
343,20,6,104,8,17,59,0,4187.5
337,34,20,98,20,11,77,0,7745.75
310,27,14,58,10,3,73,0,4035.0
308,16,9,69,6,11,45,0,1582.5
312,30,14,71,14,5,35,0,5017.0
302,18,8,58,6,7,51,0,12178.5
301,25,12,78,20,15,47,0,6070.25
313,21,12,76,12,3,39,0,5312.0
315,20,8,78,12,9,63,0,5730.75
315,15,8,84,10,11,43,0,6699.0
300,20,10,79,16,19,37,0,3308.5
333,13,2,89,2,15,65,0,5424.0
325,30,16,91,16,21,61,0,7546.75
347,35,16,107,20,13,83,0,7104.0
288,29,16,53,16,5,25,0,2017.0
295,24,11,65,16,7,31,0,3467.5
320,33,16,74,12,11,45,0,7411.0
330,34,14,99,20,21,59,0,10218.0
351,28,13,106,8,21,59,0,6334.5
339,16,11,99,2,19,35,0,4818.75
312,26,15,82,18,15,63,0,13428.0
323,21,8,84,12,7,63,0,4580.666666666667
337,17,11,104,8,21,53,0,1553.5
300,18,7,58,4,15,43,0,6265.666666666667
296,12,7,55,2,7,29,0,9354.0
350,26,13,112,12,21,69,0,6227.0
343,33,14,108,20,11,59,0,3791.75
355,31,13,109,14,9,71,0,8973.0
314,21,10,77,8,15,35,0,6177.75
331,23,11,98,8,21,17,0,4994.75
306,20,8,59,4,7,37,0,12376.5
312,23,12,77,14,7,47,0,6327.75
322,25,10,84,14,13,71,0,4311.0
361,38,18,122,18,19,57,0,1486.5
308,26,13,80,16,17,37,0,12560.5
320,19,7,69,2,9,53,0,8729.5
316,36,17,80,20,9,41,0,5395.0
292,14,5,62,4,21,13,0,1861.5
293,16,10,56,8,5,35,0,9947.0
274,16,8,40,10,3,31,0,9963.0
299,22,12,71,14,19,47,0,3402.0
331,16,5,81,2,9,65,0,3095.5
347,34,14,110,18,15,57,0,7946.5
340,31,16,96,14,13,71,0,8464.333333333334
299,17,11,53,2,3,17,0,5063.666666666667
312,15,8,68,4,13,67,0,6894.0
288,18,6,59,10,13,19,0,10214.0
325,19,11,91,8,17,35,0,5634.0
355,35,18,114,16,21,73,0,3077.5
313,13,8,65,2,3,53,0,5203.333333333333
319,41,20,76,20,7,47,0,10338.0
311,21,9,69,10,9,67,0,6386.0
319,19,10,90,14,17,65,0,6299.5
329,31,11,88,20,3,83,0,2079.5
318,23,12,78,8,15,41,0,13496.0
330,31,14,90,18,3,57,0,13195.0
298,30,15,59,16,3,37,0,1418.0
360,39,19,118,20,15,77,0,3859.0
322,27,14,83,12,9,33,0,8426.0
312,17,7,73,10,3,55,0,12320.0
334,34,15,97,18,15,57,0,4017.25
297,14,7,66,10,13,55,0,774.0
333,29,15,90,10,19,55,0,10595.0
311,25,14,73,16,7,73,0,7761.0
314,35,15,77,18,7,27,0,4805.0
317,34,13,85,20,11,35,0,1329.5
328,28,14,91,14,13,47,0,5338.0
309,21,13,78,8,21,17,0,12680.0
331,19,9,84,2,7,23,0,3722.0
310,20,5,74,8,11,23,0,2967.0
345,31,16,115,16,21,31,0,4822.5
332,30,12,94,18,9,69,0,9836.0
300,16,6,76,10,19,19,0,5807.5
306,9,6,73,2,15,23,0,7108.0
324,17,8,76,2,13,59,0,7690.5
310,30,11,78,16,15,31,0,8375.0
318,14,5,75,4,11,61,0,4745.5
329,28,13,96,16,19,61,0,4438.0
308,18,11,67,4,17,43,0,10070.0
312,26,14,65,8,11,53,0,3083.5
319,24,15,79,14,3,59,0,5498.0
318,37,19,79,20,5,41,0,4773.5
326,28,9,97,16,17,31,0,11820.0
319,35,17,79,18,3,33,0,11417.0
357,31,16,121,18,17,75,0,5697.0
306,17,9,67,10,7,67,0,3760.0
337,35,18,104,20,21,65,0,12862.0
324,27,11,89,16,13,61,0,3248.5
345,34,16,105,18,9,57,0,5352.5
301,28,15,56,10,3,25,0,5903.5
277,17,7,46,12,5,33,0,13505.0
357,24,12,110,6,17,63,0,4640.5
324,33,15,90,20,7,41,0,4652.0
345,32,15,95,12,9,69,0,3434.0
331,21,8,99,14,13,59,0,9601.666666666666
283,20,11,35,2,3,11,0,3565.5
314,21,12,60,4,5,67,0,2910.3333333333335
317,35,18,75,20,3,65,0,12771.5
282,20,9,54,16,5,37,0,5501.0
316,29,16,75,12,11,39,0,4567.0
307,16,3,59,4,5,61,0,2660.5
348,28,17,107,14,15,77,0,10315.75
326,40,19,82,20,7,59,0,886.0
293,27,12,55,16,3,49,0,4361.0
329,35,15,99,20,19,41,0,5950.0
328,28,12,85,12,15,69,0,9215.0
300,18,9,73,14,17,59,0,3409.5
345,32,17,107,14,15,35,0,3513.75
312,17,10,68,2,11,29,0,5359.0
332,34,13,98,20,11,47,0,6897.0
322,27,15,87,20,5,77,0,5511.0
316,28,12,75,16,7,73,0,5917.5
320,24,10,84,10,13,25,0,6737.0
326,29,15,95,20,15,71,0,9334.0
347,25,11,112,16,13,73,0,5416.0
309,22,14,60,8,3,65,0,4128.0
327,30,18,88,16,7,49,0,2220.5
329,30,11,93,16,13,49,0,14900.0
333,30,12,98,18,17,75,0,5316.5
304,21,12,76,14,19,53,0,5358.0
306,25,12,75,16,13,49,0,8313.5
312,18,8,70,8,7,59,0,11668.0
312,25,13,92,18,21,27,0,2485.0
296,17,12,53,6,5,45,0,4049.0
313,15,6,77,4,11,13,0,7532.0
329,27,12,93,18,3,57,0,10487.0
301,16,8,65,8,9,41,0,4859.75
278,14,6,44,6,7,15,0,3352.0
321,15,4,75,4,3,49,0,7128.5
306,16,7,65,4,7,25,0,10967.5
344,25,10,113,16,21,73,0,5384.5
321,15,8,77,6,5,63,0,3791.0
329,25,13,78,6,13,69,0,10486.0
333,29,16,91,12,13,51,0,5187.0
325,17,7,89,6,13,27,0,6793.0
293,12,7,55,2,11,23,0,6316.333333333333
305,14,9,66,6,13,63,0,7145.5
329,22,10,86,6,17,51,0,10699.0
344,29,17,113,18,19,63,0,4196.5
333,29,11,92,16,11,79,0,6356.0
306,10,3,67,2,9,35,0,6034.5
334,24,11,89,4,19,37,0,3171.0
333,15,7,99,6,17,39,0,3156.5
302,19,9,56,4,7,37,0,5886.0
